"epoch","Group: Unmasked - train/distill_loss","Group: Unmasked - train/distill_loss__MIN","Group: Unmasked - train/distill_loss__MAX","Group: Unmasked - _step","Group: Unmasked - _step__MIN","Group: Unmasked - _step__MAX","Group: Masked - train/distill_loss","Group: Masked - train/distill_loss__MIN","Group: Masked - train/distill_loss__MAX","Group: Masked - _step","Group: Masked - _step__MIN","Group: Masked - _step__MAX"
"25","0.009265687316656113","0.009233190678060055","0.009291158989071846","51","51","51","0.011925058253109456","0.01148258987814188","0.012205165810883045","51","51","51"
"26","0.009211077354848385","0.009046483784914017","0.009337431751191616","53","53","53","0.011932584084570408","0.011710895225405693","0.012058841064572334","53","53","53"
"27","0.009176825918257237","0.008958732709288597","0.00956437923014164","55","55","55","0.011864654161036015","0.011610237881541252","0.012051326222717762","55","55","55"
"28","0.009019974246621132","0.008916840888559818","0.009171281941235065","57","57","57","0.011638089269399642","0.011331594549119473","0.011854482814669609","57","57","57"
"29","0.009004024975001811","0.008866378106176853","0.009252617135643959","59","59","59","0.011502446793019771","0.011396719142794609","0.011597859673202038","59","59","59"
"30","0.008820155076682568","0.008686133660376072","0.009006302803754807","61","61","61","0.011565004289150239","0.011228177696466446","0.011838242411613464","61","61","61"
"31","0.008808791264891624","0.008515563793480396","0.008949470706284046","63","63","63","0.01161829512566328","0.011141415685415268","0.012096031568944454","63","63","63"
"32","0.008756880089640618","0.008594931103289127","0.008907306008040905","65","65","65","0.011409406922757626","0.011110756546258926","0.011661238968372345","65","65","65"
"33","0.008726315014064312","0.008587864227592945","0.008829299360513687","67","67","67","0.011241207271814347","0.01092232670634985","0.011468818411231041","67","67","67"
"34","0.008610410802066325","0.008508668281137943","0.008727849461138248","69","69","69","0.011199838109314441","0.011129908263683319","0.011320299468934536","69","69","69"
"35","0.00855147298425436","0.008425112813711166","0.008624434471130371","71","71","71","0.011199089884757995","0.010917053557932377","0.011732270941138268","71","71","71"
"36","0.008510802686214448","0.00838378630578518","0.008610334247350693","73","73","73","0.011058471538126469","0.010778467170894146","0.011363368481397629","73","73","73"
"37","0.008463595807552338","0.008386134169995785","0.00851261243224144","75","75","75","0.011018689908087253","0.010755513794720173","0.011287937872111797","75","75","75"
"38","0.008491952903568745","0.008258089423179626","0.008709104731678963","77","77","77","0.011077396757900714","0.010677884332835674","0.011398829519748688","77","77","77"
"39","0.00830147210508585","0.00812601763755083","0.008545439690351486","79","79","79","0.010911478847265243","0.010616621933877468","0.011147262528538704","79","79","79"
"40","0.008292107842862606","0.008154861629009247","0.008413252420723438","81","81","81","0.010879166983067989","0.010512705892324448","0.011070610955357552","81","81","81"
"41","0.008267738856375217","0.008128654211759567","0.008382339030504227","83","83","83","0.010825670510530471","0.010715714655816555","0.010937345214188099","83","83","83"
"42","0.008172082714736462","0.00810989085584879","0.00826491042971611","85","85","85","0.01072484590113163","0.010537379421293736","0.010968341492116451","85","85","85"
"43","0.008156155236065388","0.008064651861786842","0.008251762017607689","87","87","87","0.0106509231030941","0.010504069738090038","0.010886052623391151","87","87","87"
"44","0.008054791763424874","0.007879236713051796","0.008175971917808056","89","89","89","0.01063982881605625","0.010546140372753143","0.01074143685400486","89","89","89"
"45","0.007999645173549652","0.00786573812365532","0.008139591664075851","91","91","91","0.010638477094471455","0.010327409952878952","0.011017637327313423","91","91","91"
"46","0.007998823188245296","0.007856322452425957","0.008156506344676018","93","93","93","0.010552911274135112","0.010405822657048702","0.010778568685054779","93","93","93"
"47","0.0079016188159585","0.007712234742939472","0.00804126262664795","95","95","95","0.010453245043754578","0.010366365313529968","0.010581028647720814","95","95","95"
"48","0.007922159973531961","0.00772899528965354","0.008139521814882755","97","97","97","0.010516544058918952","0.010158732533454895","0.011043005622923374","97","97","97"
"49","0.007806891202926635","0.00771026685833931","0.007876303046941757","99","99","99","0.010339529998600484","0.01005578227341175","0.010485467500984669","99","99","99"
"50","0.007816983014345169","0.007731637451797724","0.007956523448228836","101","101","101","0.01033694352954626","0.010043729096651077","0.010507809929549694","101","101","101"
"51","0.007738469168543816","0.0076838526874780655","0.007789915893226862","103","103","103","0.010310313105583191","0.009915191680192947","0.010599848814308643","103","103","103"
