"Name","State","Notes","User","Tags","Created","Runtime","Sweep","lr","mode","epoch","train/acc","train/aupr","train/auroc","train/f1","train/loss","train/loss_epoch","train/loss_step","trainer/global_step","val/acc","val/aupr","val/auroc","val/f1","val/loss"
"retfound_idrid_seed42_1769387429","finished","-","","","2026-01-26T00:30:30.000Z","1497","","0.0005","finetune","100","0.9975786805152892","1","1","0.9966192245483398","0.007330296561121941","0.0060762641951441765","0.00024677967303432524","1300","0.5339806079864502","0.38446688652038574","0.6496815085411072","0.3657909035682678","3.2792844772338867"
"retfound_aptos_seed46_1769387416","finished","-","","","2026-01-26T00:30:17.000Z","3692","","0.0005","finetune","100","0.9918088912963868","0.9991386532783508","0.9999265670776368","0.9835655093193054","0.01296804379671812","0.012464769184589386","0.00002171595951949712","9200","0.8278688788414001","0.6593949198722839","0.9201411604881288","0.6773457527160645","1.4430543184280396"
"retfound_aptos_seed45_1769381643","finished","-","","","2026-01-25T22:54:05.000Z","5668","","0.0005","finetune","100","0.991126298904419","0.9990137219429016","0.9999150633811952","0.9829661846160888","0.014542123302817345","0.013101653195917606","0.04529809206724167","9200","0.8032786846160889","0.6663587689399719","0.9141401648521424","0.6504974365234375","0.996727705001831"
"retfound_aptos_seed44_1769381637","finished","-","","","2026-01-25T22:53:59.000Z","5656","","0.0005","finetune","100","0.9904437065124512","0.9989103674888612","0.9999080896377563","0.9808865785598756","0.014108664356172085","0.013384110294282436","0.0000353190625901334","9200","0.8142076730728149","0.647054135799408","0.916904091835022","0.6688805818557739","1.3731507062911987"
"retfound_aptos_seed43_1769295011","finished","-","","","2026-01-24T22:50:13.000Z","4360","","0.0005","finetune","77","0.9897611141204834","0.9985642433166504","0.9998822212219238","0.9788814187049866","0.05421824753284454","0.01594010554254055","0.0001502707600593567","7084","0.8032786846160889","0.6636517643928528","0.930278778076172","0.633444607257843","0.7579941153526306"
"retfound_aptos_seed42_1769294945","finished","-","","","2026-01-24T22:49:06.000Z","4992","","0.0005","finetune","96","0.9904437065124512","0.9988157153129578","0.9999042749404908","0.9795395731925964","0.022652842104434967","0.012881070375442503","0.00004476308822631836","8832","0.811475396156311","0.6894761323928833","0.9261585474014282","0.6836301684379578","1.1024833917617798"
"retfound_idrid_seed46_1769293838","finished","-","","","2026-01-24T22:30:40.000Z","951","","0.0005","finetune","77","0.9951573610305786","0.9998823404312134","0.9999808669090272","0.9907584190368652","0.0817493125796318","0.010175749659538267","0.002792131155729294","1001","0.5631067752838135","0.39596569538116455","0.6924171447753906","0.4078857898712158","2.551851987838745"
"retfound_idrid_seed45_1769293816","finished","-","","","2026-01-24T22:30:18.000Z","1164","","0.0005","finetune","98","0.990314781665802","0.9993953704833984","0.999950110912323","0.9817450642585754","0.01527715101838112","0.010713196359574797","0.00010318681597709656","1274","0.4660194218158722","0.3618036210536957","0.6165669560432434","0.3898008465766907","3.532111644744873"
"retfound_idrid_seed44_1769292942","finished","-","","","2026-01-24T22:15:43.000Z","806","","0.0005","finetune","66","0.9951573610305786","0.9998823404312134","0.9999808669090272","0.9932156801223756","0.22874172031879425","0.007592978421598673","0.03070157766342163","858","0.5631067752838135","0.39974281191825867","0.6600803732872009","0.3963598906993866","2.0681722164154053"
"retfound_idrid_seed43_1769292931","finished","-","","","2026-01-24T22:15:33.000Z","801","","0.0005","finetune","66","0.9927361011505128","0.9994061589241028","0.9999553561210632","0.9875996112823486","0.31201228499412537","0.014195529744029043","0.0008706711232662201","858","0.5145630836486816","0.4243285655975342","0.6922923922538757","0.4212772250175476","1.572518229484558"
"retfound_idrid_seed42_1769272976","finished","-","","","2026-01-24T16:42:58.000Z","2493","","0.0005","finetune","81","0.9951573610305786","0.9998823404312134","0.9999808669090272","0.990979790687561","0.040356263518333435","0.012660139240324495","0.00024053602828644216","1053","0.4563106894493103","0.38949868083000183","0.6785959005355835","0.3609049916267395","3.666079521179199"
